name,playcount,listeners,mbid,url,streamable,tags
須田景凪,1710320,116976,,https://www.last.fm/music/%E9%A0%88%E7%94%B0%E6%99%AF%E5%87%AA,0,"j-pop, japan, vocaloid"
the buttress,1629076,116905,,https://www.last.fm/music/the+buttress,0,"Horrorcore, hip hop, Hip-Hop"
d0llywood1,2764752,116874,,https://www.last.fm/music/d0llywood1,0,"digicore, cloud rap, hyperpop"
Airbag,3573065,116864,fa8ec1e9-6020-4478-b939-cf5c80fec696,https://www.last.fm/music/Airbag,0,"Progressive rock, rock, norwegian"
Scene Queen,2366062,116864,,https://www.last.fm/music/Scene+Queen,0,"bimbocore, metal, Nu Metal"
dedwrite,1799232,116817,,https://www.last.fm/music/dedwrite,0,"United States, cloud rap, experimental"
gabriels,940672,116804,,https://www.last.fm/music/gabriels,0,"soul, rnb, Power metal"
The Red Pears,1225289,116736,,https://www.last.fm/music/The+Red+Pears,0,"seen live, alternative, indie rock"
Ninja Sex Party,6256659,116575,5b2cc0d6-9075-4fc8-a88e-61d1a22199f5,https://www.last.fm/music/Ninja+Sex+Party,0,"comedy, synthpop, Retro"
Evinha,1176203,116567,0e649bfa-5e63-4454-9449-81ff21093920,https://www.last.fm/music/Evinha,0,"brazilian, Jovem Guarda, world"
or3o,1710144,116553,,https://www.last.fm/music/or3o,0,"USA, otacore"
Peezy,1487492,116536,,https://www.last.fm/music/Peezy,0,"rap, detroit rap, Hip-Hop"
millennium parade,1891780,116517,,https://www.last.fm/music/millennium+parade,0,"Soundtrack, electronic, hip hop"
Khantrast,2772053,116506,,https://www.last.fm/music/Khantrast,0,"rap, american, hiphop"
N.Flying,4761798,116495,,https://www.last.fm/music/N.Flying,0,"Korean, k-pop, k-rock"
Garoto,627583,116438,1b9664ff-0b33-464c-92f2-186affa9cd80,https://www.last.fm/music/Garoto,0,"choro, guitar, brazilian"
Fredo Bang,2085426,116398,,https://www.last.fm/music/Fredo+Bang,0,"rap, Hip-Hop, hip hop"
Web,792732,116396,b1b88a20-0861-42ee-8497-55c4d3647e1e,https://www.last.fm/music/Web,0,"Progressive rock, thrash metal, Jazz Rock"
J Lloyd,780941,116392,,https://www.last.fm/music/J+Lloyd,0,"electronic, british, UK"
I Hate Myself Because,1182960,116386,,https://www.last.fm/music/I+Hate+Myself+Because,0,"indie rock, Lo-Fi, Garage Rock"
Purple Mountains,2682813,116381,,https://www.last.fm/music/Purple+Mountains,0,"Alt-country, indie rock, singer-songwriter"
Victony,1264846,116376,,https://www.last.fm/music/Victony,0,"nigeria, afrobeats, pop"
Bailey Zimmerman,2794427,116368,,https://www.last.fm/music/Bailey+Zimmerman,0,"country, contemporary country, singer-songwriter"
Lee So Ra,2125073,116367,,https://www.last.fm/music/Lee+So+Ra,0,"Korean, female vocalists, soul"
Too Close To Touch,3318249,116360,,https://www.last.fm/music/Too+Close+To+Touch,0,"post-hardcore, alternative rock, alternative"
Alek Olsen,1427298,116347,,https://www.last.fm/music/Alek+Olsen,0,
Stela Cole,1626034,116327,,https://www.last.fm/music/Stela+Cole,0,"pop, female vocalists, USA"
Caleb Hyles,1612174,116324,5a042df9-dcd9-4e4b-ad3d-5e6cdcfba598,https://www.last.fm/music/Caleb+Hyles,0,"american, All, otacore"
Trixie Mattel,2901951,116287,,https://www.last.fm/music/Trixie+Mattel,0,"country, folk, Alt-country"
Lute,1457937,116244,,https://www.last.fm/music/Lute,0,"rap, Hip-Hop, hip hop"
Mindchatter,1018161,116239,,https://www.last.fm/music/Mindchatter,0,"electronic, experimental, indie pop"
Zaac,916959,116191,,https://www.last.fm/music/Zaac,0,"funk, brazilian, Funk Carioca"
Yuno Miles,1122583,116155,,https://www.last.fm/music/Yuno+Miles,0,"rap, experimental hip hop, comedy rap"
Launder,906920,116128,,https://www.last.fm/music/Launder,0,"shoegaze, dream pop, post-punk"
MC Ryan SP,1904062,116115,,https://www.last.fm/music/MC+Ryan+SP,0,"rap, brazil, brasil"
Marcos & Belutti,1501895,116087,c05ad303-fad7-4919-9dc7-626eaccf923e,https://www.last.fm/music/Marcos+&+Belutti,0,"sertanejo, brazilian, Sertanejo Universitario"
Inji,1229522,116087,,https://www.last.fm/music/Inji,0,"pop, electropop, female vocalists"
Dc,1013800,116052,eb1e16f4-4c3b-4b39-af41-0878b4442539,https://www.last.fm/music/Dc,0,"AC/DC, ACDC, rap"
AL-90,1867556,116035,,https://www.last.fm/music/AL-90,0,"House, outsider house, Lo-Fi"
Leanna Firestone,2266025,115984,,https://www.last.fm/music/Leanna+Firestone,0,"indie, indie pop, female vocalists"
Intervals,3919341,115979,,https://www.last.fm/music/Intervals,0,"Progressive metal, DJENT, math metal"
Can't Swim,2961406,115969,,https://www.last.fm/music/Can%27t+Swim,0,"post-hardcore, pop punk, rock"
Tiagz,782464,115923,,https://www.last.fm/music/Tiagz,0,Canadian
JayDaYoungan,3139550,115906,,https://www.last.fm/music/JayDaYoungan,0,"Hip-Hop, rap, american"
Ghost and Pals,4537215,115903,,https://www.last.fm/music/Ghost+and+Pals,0,"vocaloid, electronic, horror"
Lil Yawh,1179253,115827,,https://www.last.fm/music/Lil+Yawh,0,"scenecore, hexd, vampboiclique"
the scary jokes,3388759,115809,,https://www.last.fm/music/the+scary+jokes,0,"electropop, indie, synthpop"
Nero's Day at Disneyland,3506097,115809,41b7da82-f627-4fa5-8557-6430b2389531,https://www.last.fm/music/Nero%27s+Day+at+Disneyland,0,"breakcore, electronic, experimental"
Darell,998724,115796,,https://www.last.fm/music/Darell,0,"latin, male vocalists, puerto rico"
Yasuharu Takanashi,5424715,115789,c7b20a7d-bf0e-45f8-9ea4-6ddcae9c49dd,https://www.last.fm/music/Yasuharu+Takanashi,0,"Soundtrack, japanese, instrumental"
That Mexican OT,1845316,115780,,https://www.last.fm/music/That+Mexican+OT,0,"rap, trap, Hip-Hop"
Chris Christodoulou,3590643,115661,bec6b28b-68be-443b-a3c3-b370ea9b5ce5,https://www.last.fm/music/Chris+Christodoulou,0,"Soundtrack, instrumental, Greek"
The Hails,1078104,115654,,https://www.last.fm/music/The+Hails,0,"indie pop, pop rock, indie rock"
Kowloon,785931,115579,772bf334-513a-4e96-a088-000fb24866e5,https://www.last.fm/music/Kowloon,0,"japanese, math rock, nu jazz"
MC Xenon,986356,115563,,https://www.last.fm/music/MC+Xenon,0,
Memba,1364945,115555,,https://www.last.fm/music/Memba,0,"electronic, dance, trap"
the booyah! kids,1055121,115481,,https://www.last.fm/music/the+booyah%21+kids,0,"electronic, pop, new york"
GORDÃO DO PC,1185412,115474,,https://www.last.fm/music/GORD%C3%83O+DO+PC,0,"brazil, brazilian, baile funk"
Robb Bank$,2885527,115470,decaf88d-365d-4441-bfef-f3fc8a7eac21,https://www.last.fm/music/Robb+Bank$,0,"rap, Hip-Hop, cloud rap"
Cryogeyser,1183328,115463,,https://www.last.fm/music/Cryogeyser,0,"shoegaze, electronic, seen live"
Scalene,4934256,115427,4277a466-22c2-4ec5-8789-80fa6d4cee77,https://www.last.fm/music/Scalene,0,"rock, hardcore, brazilian"
Cazzu,2413767,115424,,https://www.last.fm/music/Cazzu,0,"Hip-Hop, pop, latin"
Christina Vantzou,1510774,115394,a610ad55-7520-461d-a9fb-32f9e31e201a,https://www.last.fm/music/Christina+Vantzou,0,"ambient, electronic, minimalism"
The Flying Stars Of Brooklyn NY,482594,115393,,https://www.last.fm/music/The+Flying+Stars+Of+Brooklyn+NY,0,"soul, rnb, gospel"
Natalie jane,1206525,115382,,https://www.last.fm/music/Natalie+jane,0,"pop, american, soul"
